names,lat,lon,geometry,,100000
Vaishno Solitaire bangalore,130167000,776915000,POINT (77.6712713 13.011668),,
Purva Whitehall bangalore,130101000,776771000,POINT (77.6722151 12.9170738),,
Countryside Raindance bangalore,129930000,776774000,POINT (77.6595798 12.832239),,
Meda Eternity bangalore,130010000,776524000,POINT (77.7079727 13.0289204),,
Shriram Blue bangalore,130038000,777021000,POINT (77.7281167 13.0166354),,
Aakruti Amity  bangalore,130050000,776786000,POINT (77.6950016 12.8340825),,
Shriram Blue bangalore,130024000,776648000,POINT (77.7281167 13.0166354),,
Adonis Plots bangalore,130008000,776736000,POINT (77.7402329 13.2320575),,
Aakruti Amity  bangalore,129473000,777641000,POINT (77.6950016 12.8340825),,
Hilife Greens bangalore,129190000,777532000,POINT (77.7302936 12.9303537),,
Prestige Deja Vu bangalore,129610000,777675000,POINT (77.60799179999999 12.9957229),,
Brigade Parkside East bangalore,129062000,777801000,POINT (77.7018458 12.9026133),,
Sobha City bangalore,128708000,777586000,POINT (77.6382007 13.077151),,
SV Spring Woods bangalore,129011000,777829000,POINT (77.53214299999999 12.8634456),,
Home Town The Address bangalore,129637000,777703000,POINT (77.6871472 12.9382404),,
HM Crescendo bangalore,129111000,777657000,POINT (77.5941112 12.9886925),,
Supertech Micasa bangalore,128982000,777858000,POINT (77.64449399999999 13.097949),,
Arvind Oasis bangalore,129020000,777628000,POINT (77.50250799999999 13.046621),,
Century Central bangalore,128720000,777673000,POINT (77.56545699999999 12.8917718),,
Geown Oasis bangalore,129111000,777620000,POINT (77.7831451 12.8826228),,
Shriram Codename Break Free bangalore,129224000,777579000,POINT (77.7028035 12.832357),,
Purnima Palmgrove bangalore,129438000,777735000,POINT (77.61464869999999 12.963659),,
Peninsula Solitaire bangalore,129221000,777695000,POINT (77.8052447 12.8657356),,
Elite Sai Gardens bangalore,129331000,777525000,POINT (77.7262083 13.280901),,
Bren Northern Lights bangalore,129660000,777802000,POINT (77.60910609999999 13.094024),,
Eshwaree Orchids bangalore,128705000,777516000,POINT (77.5945627 12.9715987),,
Orchid Piccadilly bangalore,129414000,777509000,POINT (77.6326754 13.0862364),,
Confident Sagitta bangalore,128609000,777705000,POINT (77.7170089 12.903687),,
VRR Golden Enclave bangalore,129283000,777541000,POINT (77.65299089999999 12.8236447),,
Saket Callipolis bangalore,128660000,777715000,POINT (77.68541999999999 12.9095176),,
Aditya Palm Grove bangalore,129670000,777638000,POINT (77.6139089 12.9665264),,
Sobha City Santorini bangalore,129318000,777547000,POINT (77.6364212 13.0760867),,
Adarsh Citrine bangalore,128690000,777848000,POINT (77.5884526 12.8954456),,
Prestige Leela Residences bangalore,128591000,777854000,POINT (77.6500106 12.9604699),,
Sruthika Springfields bangalore,128625000,777528000,POINT (77.5385716 13.0776893),,
Assetz Here & Now bangalore,128706000,777856000,POINT (77.6382753 12.9136256),,
SNN Raj Grandeur bangalore,128662000,777651000,POINT (77.6247599 12.9025603),,
Mahaveer Jasper bangalore,129133000,777692000,POINT (77.5861908 12.8827394),,
Prestige Royal Garden 1 bangalore,129266000,777574000,POINT (77.57063950000001 13.1395085),,
Essem18 Poetree bangalore,128724000,777549000,POINT (77.6795801 12.9066586),,
SS Vrudhi bangalore,128774000,777794000,POINT (77.52866829999999 12.8623542),,
Subha 9 Sky Vue bangalore,129471000,777648000,POINT (77.70263489999999 12.7595383),,
Ajmera Lugaano bangalore,128709000,777724000,POINT (77.5587431 13.1097661),,
Umiya Woods Apartment bangalore,129322000,777792000,POINT (77.7452412 12.9752279),,
VSR Rejoice bangalore,129083000,777738000,POINT (77.5945627 12.9715987),,
